Datum;Zeitzone;von;bis;Datenkategorie;Datentyp;Einheit;reBAP unterdeckt;reBAP ueberdeckt
2020-06-01;CEST;00:00;00:15;reBAP;Qualitätsgesichert;EUR/MWh;-84,31;-84,31
2020-06-01;CEST;00:15;00:30;reBAP;Qualitätsgesichert;EUR/MWh;-13,42;-13,42
2020-06-01;CEST;00:30;00:45;reBAP;Qualitätsgesichert;EUR/MWh;-16,94;-16,94
2020-06-01;CEST;00:45;01:00;reBAP;Qualitätsgesichert;EUR/MWh;-11,58;-11,58
2020-06-01;CEST;01:00;01:15;reBAP;Qualitätsgesichert;EUR/MWh;5,08;5,08
2020-06-01;CEST;01:15;01:30;reBAP;Qualitätsgesichert;EUR/MWh;5,08;5,08
2020-06-01;CEST;01:30;01:45;reBAP;Qualitätsgesichert;EUR/MWh;46,38;46,38
2020-06-01;CEST;01:45;02:00;reBAP;Qualitätsgesichert;EUR/MWh;16,79;16,79
2020-06-01;CEST;02:00;02:15;reBAP;Qualitätsgesichert;EUR/MWh;-14,02;-14,02
2020-06-01;CEST;02:15;02:30;reBAP;Qualitätsgesichert;EUR/MWh;19,71;19,71
2020-06-01;CEST;02:30;02:45;reBAP;Qualitätsgesichert;EUR/MWh;6,26;6,26
2020-06-01;CEST;02:45;03:00;reBAP;Qualitätsgesichert;EUR/MWh;-98,11;-98,11
2020-06-01;CEST;03:00;03:15;reBAP;Qualitätsgesichert;EUR/MWh;-7,16;-7,16
2020-06-01;CEST;03:15;03:30;reBAP;Qualitätsgesichert;EUR/MWh;-8,70;-8,70
2020-06-01;CEST;03:30;03:45;reBAP;Qualitätsgesichert;EUR/MWh;51,21;51,21
2020-06-01;CEST;03:45;04:00;reBAP;Qualitätsgesichert;EUR/MWh;48,50;48,50
2020-06-01;CEST;04:00;04:15;reBAP;Qualitätsgesichert;EUR/MWh;69,11;69,11
2020-06-01;CEST;04:15;04:30;reBAP;Qualitätsgesichert;EUR/MWh;75,29;75,29
2020-06-01;CEST;04:30;04:45;reBAP;Qualitätsgesichert;EUR/MWh;78,17;78,17
2020-06-01;CEST;04:45;05:00;reBAP;Qualitätsgesichert;EUR/MWh;67,34;67,34
2020-06-01;CEST;05:00;05:15;reBAP;Qualitätsgesichert;EUR/MWh;33,74;33,74
