Datum;Zeitzone;von;bis;Datenkategorie;Datentyp;Einheit;reBAP unterdeckt;reBAP ueberdeckt
2021-06-01;CEST;00:00;00:15;reBAP;Qualitätsgesichert;EUR/MWh;109,58;109,58
2021-06-01;CEST;00:15;00:30;reBAP;Qualitätsgesichert;EUR/MWh;149,39;149,39
2021-06-01;CEST;00:30;00:45;reBAP;Qualitätsgesichert;EUR/MWh;86,34;86,34
2021-06-01;CEST;00:45;01:00;reBAP;Qualitätsgesichert;EUR/MWh;84,82;84,82
2021-06-01;CEST;01:00;01:15;reBAP;Qualitätsgesichert;EUR/MWh;-41,54;-41,54
2021-06-01;CEST;01:15;01:30;reBAP;Qualitätsgesichert;EUR/MWh;-34,40;-34,40
2021-06-01;CEST;01:30;01:45;reBAP;Qualitätsgesichert;EUR/MWh;118,39;118,39
2021-06-01;CEST;01:45;02:00;reBAP;Qualitätsgesichert;EUR/MWh;9,54;9,54
2021-06-01;CEST;02:00;02:15;reBAP;Qualitätsgesichert;EUR/MWh;118,39;118,39
2021-06-01;CEST;02:15;02:30;reBAP;Qualitätsgesichert;EUR/MWh;95,83;95,83
2021-06-01;CEST;02:30;02:45;reBAP;Qualitätsgesichert;EUR/MWh;68,70;68,70
2021-06-01;CEST;02:45;03:00;reBAP;Qualitätsgesichert;EUR/MWh;68,36;68,36
2021-06-01;CEST;03:00;03:15;reBAP;Qualitätsgesichert;EUR/MWh;103,38;103,38
2021-06-01;CEST;03:15;03:30;reBAP;Qualitätsgesichert;EUR/MWh;103,73;103,73
2021-06-01;CEST;03:30;03:45;reBAP;Qualitätsgesichert;EUR/MWh;92,98;92,98
2021-06-01;CEST;03:45;04:00;reBAP;Qualitätsgesichert;EUR/MWh;76,96;76,96
2021-06-01;CEST;04:00;04:15;reBAP;Qualitätsgesichert;EUR/MWh;68,69;68,69
2021-06-01;CEST;04:15;04:30;reBAP;Qualitätsgesichert;EUR/MWh;80,11;80,11
2021-06-01;CEST;04:30;04:45;reBAP;Qualitätsgesichert;EUR/MWh;80,71;80,71
2021-06-01;CEST;04:45;05:00;reBAP;Qualitätsgesichert;EUR/MWh;98,41;98,41
2021-06-01;CEST;05:00;05:15;reBAP;Qualitätsgesichert;EUR/MWh;93,03;93,03
2021-06-01;CEST;05:15;05:30;reBAP;Qualitätsgesichert;EUR/MWh;82,44;82,44
2021-06-01;CEST;05:30;05:45;reBAP;Qualitätsgesichert;EUR/MWh;93,56;93,56
2021-06-01;CEST;05:45;06:00;reBAP;Qualitätsgesichert;EUR/MWh;98,98;98,98
2021-06-01;CEST;06:00;06:15;reBAP;Qualitätsgesichert;EUR/MWh;-44,68;-44,68
2021-06-01;CEST;06:15;06:30;reBAP;Qualitätsgesichert;EUR/MWh;116,57;116,57
2021-06-01;CEST;06:30;06:45;reBAP;Qualitätsgesichert;EUR/MWh;122,83;122,83
2021-06-01;CEST;06:45;07:00;reBAP;Qualitätsgesichert;EUR/MWh;128,84;128,84
2021-06-01;CEST;07:00;07:15;reBAP;Qualitätsgesichert;EUR/MWh;118,23;118,23
2021-06-01;CEST;07:15;07:30;reBAP;Qualitätsgesichert;EUR/MWh;127,64;127,64
2021-06-01;CEST;07:30;07:45;reBAP;Qualitätsgesichert;EUR/MWh;125,31;125,31
